"","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.8","X0.9","X0.10","X1.1","X1.2","X1.3","X1.4","X1.5","X1.6","X1.7","X1.8","X1.9","X2.1","X2.2","X2.3","X2.4","X2.5","X2.6","X2.7","X2.8","X3.1","X3.2","X3.3","X3.4","X3.5","X3.6","X3.7","X4.1","X4.2","X4.3","X4.4","X4.5","X4.6","X5.1","X5.2","X5.3","X5.4","X5.5","X6.1","X6.2","X6.3","X6.4","X7.1","X7.2","X7.3","X8.1","X8.2","X9"
"0",0.00215490199462459,0.00206552250071371,0.00198015680448296,0.00189824928796349,0.00181991819260303,0.00174478086298245,0.00167282720024106,0.0016037239545309,0.00153752104945197,0.00147408675329536,0.00213895594474269,0.00205274454092602,0.0019700502226526,0.00189070331376232,0.00181457792777718,0.00174154003545196,0.00167146016503423,0.00160422286260796,0.00153970786289334,0.00210829356506116,0.00202503314956764,0.00194511039518758,0.00186834455248576,0.00179463697560955,0.00172387199454663,0.00165592331542902,0.00159067784417854,0.00210750999217668,0.00202674660067628,0.00194908726628261,0.0018744492792919,0.00180269193779197,0.00173371379605906,0.00166739896432828,0.00199875142318899,0.0019216267111883,0.00184743280413234,0.00177624988517091,0.00170781757623487,0.00164202613755442,0.00188566877731558,0.00181242259207414,0.00174205950923738,0.00167446458510986,0.00160952751396558,0.00189470132842496,0.00182318884479418,0.00175437678800037,0.00168821488707909,0.00179427629060336,0.00172593581232075,0.00166022643033744,0.00182093371290164,0.00175390062376584,0.0017395907081312
"1",0.00038572049318364,0.000373274460940854,0.000361146303322155,0.000349450710613999,0.000338096822798719,0.000327111871826185,0.000316387016245676,0.000306107205935306,0.00029616143704945,0.000286538853722561,0.000385153823715615,0.000372985210251753,0.000361201203522193,0.000349789642767939,0.000338738751885066,0.000328000494768687,0.000317608064722245,0.000307553789419103,0.00029783074476448,0.000375313771161437,0.00036349298965666,0.000352102278529539,0.000340970875393287,0.00033021693371943,0.000319809678858157,0.000309732660156698,0.000299973853172546,0.000369621593403892,0.000358080087191147,0.00034697205762921,0.000336188220799473,0.000325734056887145,0.000315603523141517,0.000305787691776075,0.000341087475270514,0.0003299683409812,0.000319199544251747,0.000308802531261173,0.000298738380371066,0.000289000726186848,0.000325211973800871,0.00031452551113529,0.000304190490628091,0.000294195364482455,0.000284528949880407,0.000329292392040236,0.000318850268873538,0.000308755148382679,0.000298985464872905,0.000322087286332923,0.000312039372035931,0.000302304916587018,0.00033091927287291,0.000321081597075517,0.000316973643322601
"2",0.000221598405370982,0.000214677179852909,0.000207977804893864,0.000201461375012677,0.000195182093253876,0.000189103606028618,0.000183192076945941,0.000177494616861954,0.000171978966281034,0.00016663918181656,0.000222800153914031,0.000216134856118377,0.000209676661733156,0.00020341890961827,0.000197355159263876,0.000191461804088409,0.000185767129684607,0.000180248428281902,0.000174900067437328,0.000222761631431122,0.000216331997576171,0.000210058330273272,0.000204026438636694,0.000198172673958934,0.000192492497726839,0.000186981230924417,0.000181634132483568,0.00021523963097934,0.000208941213784885,0.000202894249965596,0.000197022408221727,0.000191322082434145,0.000185791326895011,0.000180427309012282,0.000201779130872428,0.000195706642920296,0.000189847396424535,0.000184150780906619,0.000178626871136599,0.000173277634558,0.00018651036819044,0.000180665384920487,0.000175013346156353,0.000169546891761921,0.000164259340910599,0.000197167686510033,0.000191446634227138,0.000185900454618306,0.000180527486266172,0.000181571104368953,0.000176045459773481,0.000170694900659447,0.000179776062277465,0.000174346655349973,0.000168227879397424
"3",0.000173373044043638,0.000167821544630021,0.000162449649982724,0.000157266180605207,0.000152234962153546,0.000147366249800091,0.0001427086222143,0.00013811194227152,0.000133698632922779,0.000129427713478993,0.000167679606927426,0.000162273202143626,0.000157060313072434,0.000152022338281037,0.000147150253812388,0.00014244326110581,0.000137884123874846,0.000133473822282346,0.000129207408359203,0.000162874456161811,0.000157639956027237,0.000152579638396176,0.000147681211093708,0.000142942652693682,0.000138358665444539,0.000133924129573485,0.000129634097235219,0.00015696240028537,0.000151895093264193,0.000146950711798239,0.000142173004888166,0.000137557802067845,0.000133097939829586,0.000128786423265069,0.000148377696687034,0.000143475131037775,0.000138753643868246,0.00013416457889871,0.000129733740311138,0.000125454350082404,0.00014232814066129,0.000137609595107176,0.000133049056077065,0.00012864089566025,0.00012437994028967,0.000140037430785515,0.000135429324825946,0.00013097796532969,0.000126672640786649,0.000136929517450153,0.000132480426266096,0.000128174797440598,0.00013976569123623,0.000135404012018709,0.000130477116400242
"4",0.000120995676573063,0.000116134683406216,0.000111470829188558,0.000106993561787026,0.000102703615382404,9.8588772171208e-05,9.46478601134583e-05,9.08607138694628e-05,8.72278479192954e-05,8.37428713206706e-05,0.000119034978021879,0.000114285834650329,0.000109755313948528,0.000105406360801505,0.000101231623370128,9.725087556551e-05,9.33880976447944e-05,8.96895744620721e-05,8.61420814887016e-05,0.000115363996634011,0.000110803283234911,0.000106434905041082,0.000102230058873809,9.81927326790302e-05,9.43161988550541e-05,9.05940020162026e-05,8.70199479016378e-05,0.000113564770562894,0.000109163138053271,0.000104937384778523,0.00010087899144271,9.69807320732116e-05,9.32358137785313e-05,8.96379476266476e-05,0.000103147507473764,9.89799365665379e-05,9.49972862481188e-05,9.11564708561249e-05,8.74754736276364e-05,8.39476577974909e-05,9.80451578442549e-05,9.41173728175358e-05,9.03511252988088e-05,8.67396888161299e-05,8.32765978533398e-05,0.000103844893626562,0.000100010640380636,9.63226468398357e-05,9.27748294739437e-05,9.9115315225222e-05,9.54369216764637e-05,9.19008067977266e-05,0.000100291214754236,9.66783939910688e-05,9.38231206479767e-05
"5",9.34111047579813e-05,8.95803353650538e-05,8.59136826742113e-05,8.24043458869004e-05,7.90455769032592e-05,7.58305064049779e-05,7.27595809995153e-05,6.9813374778018e-05,6.69924497902575e-05,6.42912413347146e-05,9.49363950803938e-05,9.13070665221654e-05,8.78296222823196e-05,8.44972204117257e-05,8.1303343574568e-05,7.8187115392575e-05,7.52902952392183e-05,7.2475557835127e-05,6.97762658086016e-05,9.30541942131074e-05,8.95429253746452e-05,8.61246848068448e-05,8.29228874477262e-05,7.9835995564663e-05,7.68689479548504e-05,7.40202272190458e-05,7.12860461525913e-05,9.16871223987007e-05,8.82795973240691e-05,8.50039969643681e-05,8.18507114415335e-05,7.88216246427464e-05,7.59153982394456e-05,7.31275569397558e-05,9.2775728661642e-05,8.94494797353083e-05,8.62478038662554e-05,8.31710944273071e-05,8.02097252025351e-05,7.73597013420754e-05,8.64835939655228e-05,8.33364171250348e-05,8.03116824256109e-05,7.74043119310955e-05,7.46094291598169e-05,8.68642851613027e-05,8.38046341206916e-05,8.08590989358566e-05,7.80203324445069e-05,8.48356608710102e-05,8.18700285331875e-05,7.90141457503141e-05,8.45816416732042e-05,8.16886645635423e-05,7.77401650081859e-05
"6",8.43567079760901e-05,8.05253781209532e-05,7.69118824649192e-05,7.3448216637006e-05,7.01538720619274e-05,6.70080857240183e-05,6.39930504165804e-05,6.1152132763659e-05,5.84121998253759e-05,5.57956863903929e-05,8.22315376802969e-05,7.85863107763905e-05,7.5093410930116e-05,7.1756297900329e-05,6.85679984621046e-05,6.55328673281274e-05,6.26221012373413e-05,5.98410677842748e-05,5.71839641394912e-05,7.80303685003352e-05,7.45293251144307e-05,7.12845295572259e-05,6.80217827297444e-05,6.4971548893524e-05,6.20585817333442e-05,5.92766811173292e-05,5.66199280307996e-05,7.83186323246213e-05,7.49928836512531e-05,7.16830995008586e-05,6.85436346716426e-05,6.55511143776191e-05,6.26929491886048e-05,5.99608839173388e-05,7.29976566116385e-05,6.97672393082656e-05,6.66603312657513e-05,6.37051579759067e-05,6.08932063711849e-05,5.82067471048006e-05,7.35200522367827e-05,7.04139925058381e-05,6.74372604284782e-05,6.45860019154359e-05,6.18556820080619e-05,7.3508482723646e-05,7.04741438127458e-05,6.75672242784903e-05,6.47810932949041e-05,6.93129361629762e-05,6.64290441673559e-05,6.3664966604729e-05,7.30801043384586e-05,7.02203701580844e-05,7.13824448397996e-05
"7",8.22492599330056e-05,7.89810094319423e-05,7.58501628273473e-05,7.28350776059635e-05,6.99503978224959e-05,6.71809854837123e-05,6.45188650618402e-05,6.19665466113165e-05,5.95160998964901e-05,5.71634240746532e-05,7.94874051702231e-05,7.63415395831878e-05,7.33215264476472e-05,7.0422279224101e-05,6.7638918916686e-05,6.49677256342202e-05,6.24039908900596e-05,5.99406342599888e-05,5.75755804009925e-05,7.86706526642704e-05,7.56282368436356e-05,7.27094817831621e-05,6.98971852878071e-05,6.71976977551876e-05,6.46036694157271e-05,6.21109352196454e-05,5.97154962883264e-05,7.63154491259539e-05,7.33890817941561e-05,7.05420407832623e-05,6.78201592405567e-05,6.52042774268618e-05,6.2690230730425e-05,6.02740195237977e-05,7.40783020040998e-05,7.12707726620611e-05,6.85755327745206e-05,6.59776979266342e-05,6.3481877776013e-05,6.10827253813097e-05,6.96593571826459e-05,6.69869106676273e-05,6.44187593722279e-05,6.19507362269756e-05,5.95788657751278e-05,6.69455872366707e-05,6.43530077795934e-05,6.18599387747004e-05,5.94640803438455e-05,6.25916513967034e-05,6.01177949356231e-05,5.77425151991515e-05,6.22037751654969e-05,5.97808657813975e-05,5.88617162096827e-05
"8",6.31984651005546e-05,6.04392365329663e-05,5.78052743487141e-05,5.52858718659527e-05,5.28809679518743e-05,5.05826967819379e-05,4.83834513088401e-05,4.62847911054429e-05,4.42789352887071e-05,4.23617058818547e-05,6.16756098508291e-05,5.90232875990807e-05,5.64874837646435e-05,5.40629786691984e-05,5.17447905201357e-05,4.95274501209549e-05,4.74080814774175e-05,4.53813856238086e-05,4.34432284930783e-05,6.30172115196978e-05,6.0450877042454e-05,5.79913719757783e-05,5.5635716715586e-05,5.33784971221773e-05,5.12154929239421e-05,4.9142668833831e-05,4.7156166291763e-05,6.45353239489162e-05,6.20286256009358e-05,5.96096254892267e-05,5.72863675824738e-05,5.50550098820832e-05,5.2911866502267e-05,5.08534012561787e-05,6.24618203747428e-05,6.00536288293162e-05,5.77564122688167e-05,5.55311990251184e-05,5.33930465959594e-05,5.13384995683495e-05,5.82416460779014e-05,5.59575489488832e-05,5.37645210524675e-05,5.16588750912064e-05,4.96370751497061e-05,5.61674931050739e-05,5.39438792054297e-05,5.18127455618755e-05,4.9766783101628e-05,5.58220433406154e-05,5.36729466274841e-05,5.16068518736819e-05,5.65557317976231e-05,5.44432280369738e-05,5.19555567431703e-05
"9",5.5140044694514e-05,5.26892312527413e-05,5.03526215284599e-05,4.81254688576473e-05,4.60015989451376e-05,4.39762186819201e-05,4.20459689612128e-05,4.02037426132475e-05,3.84463890476629e-05,3.67698235756417e-05,5.19977307412497e-05,4.96552022035041e-05,4.7423194220469e-05,4.52962808425653e-05,4.3269311074226e-05,4.13392614972002e-05,3.94980367705402e-05,3.77427846536254e-05,3.60693206728181e-05,5.19094902261117e-05,4.96537343874927e-05,4.75032338074671e-05,4.54496472247306e-05,4.34897327412603e-05,4.16190157361694e-05,3.9833243227471e-05,3.81283725992378e-05,4.93490092727303e-05,4.71940902736402e-05,4.51376934981456e-05,4.31761179617388e-05,4.13047741041949e-05,3.95193030638164e-05,3.78155647604327e-05,4.7594652606998e-05,4.55756940074458e-05,4.36369408391106e-05,4.17982937105399e-05,4.00435952568142e-05,3.83687452931333e-05,4.50162149399809e-05,4.31662244732913e-05,4.14019954261139e-05,3.97191486598511e-05,3.81135434654856e-05,4.52877961429317e-05,4.34548482626227e-05,4.17041945703834e-05,4.0031815773335e-05,4.31735225637022e-05,4.14378865380649e-05,3.97800233379372e-05,4.56525838223388e-05,4.38952068617791e-05,4.53997065035009e-05
